GEO/TIME;Total;Hydro;Geothermal;Nuclear;Conventional Thermal;Coal - combustion;Oil - combustion;Natural Gas - combustion;Renewables - combustion;Other Non-Renewable Fuels - combustion;Wind;Solar;Tide, wave, ocean and other non-combustible sources;Others;year
Austria;64844.0;44583.0;0.0;0.0;20261.0;;;;;;0.0;0.0;0.0;0.0;2008
Belgium;80679.0;2409.0;0.0;43359.0;34911.0;;;;;;0.0;0.0;0.0;0.0;2008
Bulgaria;40028.0;2969.0;0.0;14742.0;22317.0;;;;;;0.0;0.0;0.0;0.0;2008
Cyprus;4719.0;0.0;0.0;0.0;4719.0;;;;;;0.0;0.0;0.0;0.0;2008
Czechia;77091.0;2622.0;0.0;25016.0;49453.0;;;;;;0.0;0.0;0.0;0.0;2008
Denmark;34737.0;6955.0;0.0;0.0;27782.0;;;;;;0.0;0.0;0.0;0.0;2008
Estonia;9470.0;154.0;0.0;0.0;9316.0;;;;;;0.0;0.0;0.0;0.0;2008
Finland;74055.0;17146.0;0.0;22035.0;34874.0;;;;;;0.0;0.0;0.0;0.0;2008
France;548977.0;73677.0;0.0;418298.0;57002.0;;;;;;0.0;0.0;0.0;0.0;2008
Germany (until 1990 former territory of the FRG);540779.0;24860.0;0.0;140708.0;375211.0;;;;;;0.0;0.0;0.0;0.0;2008
Greece;52376.0;2975.0;0.0;0.0;49401.0;;;;;;0.0;0.0;0.0;0.0;2008
Hungary;37264.0;393.0;0.0;13898.0;22973.0;;;;;;0.0;0.0;0.0;0.0;2008
Ireland;28290.0;3526.0;0.0;0.0;24764.0;;;;;;0.0;0.0;0.0;0.0;2008
Italy;304319.0;51138.0;5171.0;0.0;248010.0;;;;;;0.0;0.0;0.0;0.0;2008
Latvia;5065.0;3136.0;0.0;0.0;1929.0;;;;;;0.0;0.0;0.0;0.0;2008
Lithuania;12260.0;1033.0;0.0;9225.0;2002.0;;;;;;0.0;0.0;0.0;0.0;2008
Luxembourg;3491.0;1015.0;0.0;0.0;2476.0;;;;;;0.0;0.0;0.0;0.0;2008
Netherlands;102281.0;4341.0;0.0;3933.0;94007.0;;;;;;0.0;0.0;0.0;0.0;2008
Poland;139941.0;6905.0;0.0;0.0;133036.0;;;;;;0.0;0.0;0.0;0.0;2008
Portugal;30222.0;6428.0;0.0;0.0;23794.0;;;;;;0.0;0.0;0.0;0.0;2008
Romania;58456.0;16771.0;0.0;10315.0;31370.0;;;;;;0.0;0.0;0.0;0.0;2008
Slovakia;27489.0;4338.0;0.0;15465.0;7686.0;;;;;;0.0;0.0;0.0;0.0;2008
Slovenia;15346.0;3952.0;0.0;5973.0;5421.0;;;;;;0.0;0.0;0.0;0.0;2008
Spain;281879.0;49738.0;0.0;56403.0;175738.0;;;;;;0.0;0.0;0.0;0.0;2008
Sweden;145913.0;70347.0;0.0;61268.0;14298.0;;;;;;0.0;0.0;0.0;0.0;2008
United Kingdom;375827.0;16195.0;0.0;47674.0;311958.0;;;;;;0.0;0.0;0.0;0.0;2008
Austria;67104.0;47449.0;0.0;0.0;19655.0;;;;;;0.0;0.0;0.0;0.0;2009
Belgium;87051.0;2898.0;0.0;44959.0;39194.0;;;;;;0.0;0.0;0.0;0.0;2009
Bulgaria;38476.0;4084.0;0.0;14223.0;20169.0;;;;;;0.0;0.0;0.0;0.0;2009
Cyprus;4854.0;0.0;0.0;0.0;4854.0;;;;;;0.0;0.0;0.0;0.0;2009
Czechia;75975.0;3247.0;0.0;25665.0;47063.0;;;;;;0.0;0.0;0.0;0.0;2009
Denmark;34452.0;6740.0;0.0;0.0;27712.0;;;;;;0.0;0.0;0.0;0.0;2009
